A|Ansuz Odin|God, Ancestors|Divination,
B|Berkana Birth|Earth Mother, Birth|Conjuration,Transmutation,
C|Kaunaz Fire|Fire, Knowledge|Divination,Evocation,
D|Dagaz Dawn|Intuition, Light Within|Divination,Transmutation,
E|Ehwaz Fire|Fire, Knowledge|Divination,Evocation,
F|Fehu Frey|Wealth, Mother Rune|Enchantment,
G|Gebo Gift|Divine Interaction|Transmutation,Conjuration,
H|Hagalaz Air|Transformation, Egg of Life|Transmutation,
I|Isa Ice|Cosmic Coherence|Transmutation,
J|Jera Earth|Cycles, Right Action|Divination,Transmutation,
K|Kaunaz Fire|Fire, Knowledge|Divination,Evocation,
L|Laguz Water|Fertility, Living Renewal|Conjuration,Transmutation,
M|Mannaz Man|Divine Union, Manifestation|Conjuration,Illusion,Transmutation,
N|Nauthiz Necessity|Needs, Friction, Shadow|Enchantment,Illusion,Necromancy
O|Othila Ancestral|Inherited Property, Genetics|Divination,Transmutation,
P|Peorth Hearth|Divination, Luck, Primal Law|Divination,Transmutation,
Q|Kaunaz Fire|Fire, Knowledge|Divination,Evocation,
R|Raido Wheel|Solar Chariot, Rhythm|Enchantment,Transmutation,
S|Sowulo Sun|Thunderbolt, Wheel of Power|Evocation,Transmutation,
T|Teiwaz Victory|Masculine Gods, Warrior Rune|Evocation,Enchantment,
U|Uruz Power|Primal Creative Force, Gateway|Evocation,Transmutation,
V|Wunjo Joy|Kinship, Heritage, Joy|Enchantment,
W|Wunjo Joy|Kinship, Heritage, Joy|Enchantment,
X|Thurisaz Thor|Protection, Polarity, Regeneration|Abjuration,Transmutation,Necromancy
Y|Eiwaz Death| Tree of Life, Dreaming, Magic|Divination,Illusion,
Z|Algiz Protection|Divine Protection, Sanctuary|Abjuration,
TH|Thurisaz Thor|Protection, Polarity, Regeneration|Abjuration,Transmutation,Necromancy
NG|Inguz Fertility|True Love, Music, Harmony|Divination,Enchantment,Transmutation,